tau_1,tau_2,tau_3,gamma_1,gamma_2,gamma_3,alpha,iters,time_s,PhiI,Finf,oneR2_het,p_star,mu_1,mu_2,mu_3,pr_gap,converged,init
3.0,3.0,3.0,50,50,50,A6,407,13.36,9.778e-07,2.291e-04,2.969258e-06,0.7685248549,0.76852488,0.76852482,0.76852488,0.000000,1,cold
3.0,3.0,3.0,49.0,49.0,49.0,P1.0,1283,35.58,9.940e-07,1.726e-06,9.989239e-04,0.6777312916,0.68855621,0.68968431,0.68855621,-0.001128,1,warm
3.0,3.0,3.0,48.0,48.0,48.0,P1.0,1,0.05,9.734e-07,1.762e-06,9.989245e-04,0.6777312935,0.68855622,0.68968432,0.68855622,-0.001128,1,warm
3.0,3.0,3.0,47.0,47.0,47.0,P1.0,1,0.05,9.573e-07,1.799e-06,9.989251e-04,0.6777312986,0.68855622,0.68968433,0.68855622,-0.001128,1,warm
3.0,3.0,3.0,46.0,46.0,46.0,P1.0,1,0.05,9.418e-07,1.838e-06,9.989256e-04,0.6777313070,0.68855624,0.68968434,0.68855624,-0.001128,1,warm
3.0,3.0,3.0,45.0,45.0,45.0,P1.0,1,0.06,9.260e-07,1.879e-06,9.989260e-04,0.6777313185,0.68855625,0.68968435,0.68855625,-0.001128,1,warm
3.0,3.0,3.0,44.0,44.0,44.0,P1.0,1,0.06,9.096e-07,1.922e-06,9.989262e-04,0.6777313328,0.68855627,0.68968436,0.68855627,-0.001128,1,warm
3.0,3.0,3.0,43.0,43.0,43.0,P1.0,1,0.06,8.926e-07,1.967e-06,9.989264e-04,0.6777313495,0.68855629,0.68968438,0.68855629,-0.001128,1,warm
3.0,3.0,3.0,42.0,42.0,42.0,P1.0,1,0.06,8.751e-07,2.013e-06,9.989265e-04,0.6777313683,0.68855631,0.68968440,0.68855631,-0.001128,1,warm
3.0,3.0,3.0,41.0,41.0,41.0,P1.0,1,0.06,8.572e-07,2.063e-06,9.989265e-04,0.6777313893,0.68855634,0.68968442,0.68855634,-0.001128,1,warm
3.0,3.0,3.0,40.0,40.0,40.0,P1.0,1,0.06,8.391e-07,2.114e-06,9.989265e-04,0.6777314121,0.68855636,0.68968444,0.68855636,-0.001128,1,warm
3.0,3.0,3.0,39.0,39.0,39.0,P1.0,1,0.06,8.208e-07,2.168e-06,9.989263e-04,0.6777314368,0.68855639,0.68968446,0.68855639,-0.001128,1,warm
3.0,3.0,3.0,38.0,38.0,38.0,P1.0,1,0.06,8.023e-07,2.225e-06,9.989261e-04,0.6777314633,0.68855642,0.68968448,0.68855642,-0.001128,1,warm
